id,gender,age,trust
1,남성,39,5
2,남성,75,2
3,여성,69,5
4,여성,67,5
5,여성,34,1
6,남성,26,3
7,남성,47,1
8,여성,62,3
9,남성,44,3
10,여성,78,3
11,여성,66,5
12,남성,65,3
13,남성,54,5
14,여성,37,4
15,남성,75,5
16,여성,20,3
17,여성,48,4
18,남성,44,5
19,여성,74,1
20,여성,51,5
21,여성,44,5
22,여성,73,4
23,여성,51,5
24,남성,55,2
25,남성,71,1
26,남성,64,5
27,여성,49,2
28,여성,75,2
29,남성,59,4
30,여성,64,5
31,여성,54,4
32,여성,54,5
33,여성,70,4
34,여성,31,3
35,여성,19,1
36,남성,60,5
37,여성,70,5
38,여성,42,2
39,여성,63,4
40,여성,51,4
41,여성,54,1
42,여성,39,4
43,남성,47,5
44,여성,47,2
45,여성,72,4
46,남성,60,3
47,여성,42,1
48,남성,66,4
49,남성,47,1
50,남성,19,4
51,남성,58,2
52,남성,26,5
53,남성,67,5
54,여성,61,3
55,남성,19,3
56,여성,63,2
57,남성,49,5
58,남성,57,5
59,여성,24,4
60,남성,78,2
61,여성,51,4
62,여성,70,2
63,남성,43,1
64,남성,43,1
65,남성,72,3
66,여성,78,1
67,남성,51,4
68,여성,62,3
69,여성,39,1
70,여성,79,4
71,남성,28,5
72,남성,46,5
73,여성,48,5
74,남성,62,1
75,여성,21,2
76,남성,21,5
77,남성,47,2
78,여성,64,1
79,남성,60,5
80,남성,69,5
81,남성,29,2
82,여성,36,4
83,여성,74,1
84,여성,38,2
85,여성,30,3
86,여성,50,4
87,여성,48,2
88,여성,52,4
89,여성,26,5
90,여성,71,1
91,남성,33,1
92,남성,75,4
93,여성,45,5
94,남성,20,3
95,남성,41,5
96,남성,26,5
97,여성,54,5
98,남성,55,3
99,여성,61,5
100,남성,25,3
101,남성,46,2
102,남성,62,1
103,여성,65,2
104,남성,51,3
105,여성,56,1
106,여성,78,3
107,남성,35,3
108,남성,19,4
109,여성,45,1
110,남성,25,2
111,남성,38,1
112,남성,62,5
113,여성,39,4
114,남성,78,4
115,여성,57,2
116,여성,46,1
117,여성,74,5
118,여성,43,3
119,여성,22,4
120,남성,37,3
121,여성,65,1
122,여성,68,4
123,여성,56,1
124,여성,31,5
125,남성,65,1
126,남성,58,1
127,남성,21,2
128,여성,57,3
129,남성,46,5
130,남성,41,4
131,여성,43,2
132,여성,61,2
133,남성,30,5
134,남성,61,5
135,여성,75,3
136,남성,33,1
137,남성,36,5
138,여성,45,3
139,여성,27,5
140,남성,72,2
141,남성,60,5
142,여성,40,5
143,여성,22,1
144,남성,49,1
145,남성,62,5
146,남성,78,4
147,여성,79,2
148,여성,40,2
149,여성,41,4
150,여성,54,4
151,여성,31,2
152,여성,28,4
153,남성,79,3
154,여성,69,1
155,남성,24,3
156,여성,53,3
157,남성,64,1
158,남성,53,2
159,여성,55,1
160,여성,43,5
161,남성,51,1
162,남성,28,4
163,여성,54,3
164,여성,21,5
165,남성,29,3
166,여성,53,3
167,여성,27,4
168,남성,66,1
169,여성,79,4
170,여성,70,5
171,남성,65,5
172,남성,30,3
173,남성,29,1
174,남성,51,1
175,여성,23,3
176,여성,32,5
177,남성,57,5
178,남성,27,1
179,여성,50,1
180,남성,43,3
181,여성,60,1
182,여성,49,4
183,남성,54,5
184,남성,72,3
185,여성,77,5
186,여성,24,1
187,남성,70,4
188,여성,35,2
189,남성,39,4
190,여성,39,4
191,여성,39,2
192,남성,70,4
193,남성,74,3
194,여성,45,5
195,여성,32,2
196,여성,66,5
197,남성,46,3
198,여성,72,1
199,여성,36,4
200,여성,28,5
201,여성,33,3
202,남성,54,1
203,여성,37,5
204,여성,59,4
205,여성,20,5
206,여성,62,4
207,여성,25,4
208,남성,46,3
209,여성,22,4
210,남성,19,3
211,여성,27,3
212,여성,72,4
213,여성,40,1
214,남성,67,2
215,남성,61,3
216,여성,20,2
217,여성,51,3
218,여성,24,5
219,남성,53,1
220,남성,28,3
221,남성,79,4
222,남성,57,2
223,여성,24,5
224,여성,64,5
225,남성,25,1
226,여성,79,4
227,남성,30,5
228,남성,79,4
229,여성,40,3
230,여성,57,4
231,여성,50,3
232,여성,21,4
233,남성,20,4
234,여성,35,4
235,남성,42,3
236,여성,38,2
237,남성,71,4
238,남성,65,5
239,여성,49,5
240,남성,73,5
241,여성,50,3
242,여성,42,2
243,남성,54,2
244,여성,79,5
245,여성,59,1
246,남성,20,4
247,남성,32,4
248,남성,51,2
249,여성,68,4
250,남성,54,3
251,여성,60,4
252,남성,28,5
253,남성,65,2
254,남성,70,5
255,남성,70,1
256,여성,69,3
257,남성,27,3
258,여성,27,4
259,남성,30,1
260,남성,62,2
261,여성,60,5
262,여성,77,5
263,남성,38,2
264,여성,75,5
265,남성,48,4
266,남성,76,3
267,남성,64,5
268,남성,49,1
269,남성,25,3
270,여성,40,1
271,남성,51,2
272,남성,46,4
273,남성,72,2
274,남성,33,4
275,남성,42,2
276,여성,65,4
277,여성,73,3
278,남성,38,4
279,여성,24,2
280,남성,26,1
281,여성,64,5
282,남성,26,2
283,남성,60,4
284,남성,76,4
285,남성,54,2
286,여성,37,3
287,여성,19,4
288,여성,75,3
289,여성,50,2
290,남성,69,2
291,남성,41,4
292,여성,57,5
293,남성,78,5
294,여성,67,3
295,남성,48,4
296,여성,53,5
297,남성,71,3
298,여성,21,1
299,남성,23,5
300,여성,55,1
