id,gender,age,region,ideology,q1,q2,q3,wt
1,남성,39,영남,1,5,4,5,1.832
2,여성,67,호남,9,3,4,-9,1.915
3,여성,62,호남,5,5,3,5,0.897
4,여성,28,강원·제주,4,-9,3,1,1.078
5,여성,74,영남,9,4,3,5,1.975
6,여성,51,서울,2,5,1,4,1.199
7,여성,75,서울,7,5,4,3,1.332
8,여성,70,호남,4,-9,5,5,1.976
9,여성,77,강원·제주,8,4,5,1,1.813
10,여성,48,서울,8,2,4,3,1.936
11,여성,25,호남,0,4,1,2,0.821
12,남성,67,충청,10,1,5,4,1.573
13,남성,53,영남,9,5,4,2,1.732
14,여성,51,경기·인천,3,1,1,3,1.499
15,남성,20,충청,7,1,4,2,0.662
16,남성,46,호남,10,5,2,2,0.477
17,남성,47,강원·제주,10,2,2,5,1.921
18,남성,29,경기·인천,6,1,2,3,1.189
19,여성,37,충청,7,5,1,2,0.408
20,남성,75,충청,10,1,2,5,1.746
21,남성,26,충청,9,5,3,2,0.572
22,여성,25,경기·인천,0,2,1,3,1.4
23,남성,37,경기·인천,1,-9,3,1,0.497
24,남성,20,서울,9,3,4,5,0.465
25,여성,39,영남,10,3,3,3,0.498
26,여성,75,무응답,4,1,4,1,1.322
27,여성,31,강원·제주,2,1,5,3,0.449
28,남성,41,호남,6,2,1,5,1.562
29,여성,75,경기·인천,0,4,3,5,0.552
30,남성,54,무응답,8,3,3,1,1.467
31,남성,49,경기·인천,2,4,3,2,1.355
32,여성,40,충청,10,4,5,2,1.468
33,남성,50,충청,8,1,1,5,1.643
34,남성,64,서울,9,1,4,5,1.78
35,남성,51,경기·인천,5,3,5,2,0.676
36,여성,37,충청,6,1,4,3,1.781
37,남성,65,경기·인천,2,1,1,1,1.026
38,남성,53,영남,1,4,1,5,0.913
39,남성,41,호남,8,3,4,3,0.54
40,남성,70,충청,10,3,5,4,1.085
41,남성,31,경기·인천,5,3,5,2,1.151
42,남성,46,서울,7,5,2,2,1.354
43,남성,36,호남,6,-9,4,4,1.945
44,남성,46,충청,6,1,3,5,1.495
45,여성,72,호남,7,1,1,3,0.955
46,남성,69,충청,5,2,1,2,0.961
47,남성,79,영남,4,4,5,1,0.448
48,여성,21,강원·제주,3,4,3,3,1.431
49,여성,50,충청,-9,1,3,4,0.738
50,여성,51,호남,9,4,5,3,2.068
51,남성,73,영남,7,3,1,2,1.691
52,여성,59,영남,0,2,5,2,1.746
53,여성,68,호남,10,3,4,5,0.721
54,남성,65,강원·제주,10,3,2,5,1.578
55,남성,48,강원·제주,-9,2,5,5,2.028
56,여성,33,영남,10,2,2,1,1.2
57,남성,25,강원·제주,4,1,2,1,1.119
58,여성,31,경기·인천,10,2,5,4,1.626
59,여성,73,경기·인천,10,5,1,2,1.656
60,남성,67,강원·제주,2,2,2,4,0.452
61,남성,60,강원·제주,4,4,-9,3,1.829
62,여성,27,경기·인천,5,5,1,5,0.955
63,여성,62,호남,8,1,3,5,0.471
64,여성,55,강원·제주,7,5,-9,2,0.445
65,여성,24,충청,-9,1,5,3,1.619
66,여성,49,강원·제주,3,5,3,4,0.824
67,남성,47,서울,9,5,-9,4,1.641
68,여성,69,경기·인천,5,4,5,-9,1.424
