id,title,text,human_label
1,남녀고용평등법 일부개정,"여성 근로자의 임신·출산 휴가 기간을 연장하고 사업 후 불이익 처우를 금지한다.",3
2,도로교통법 일부개정,"스쿨존 제한속도를 조정하고 신호기 설치 기준을 정비한다.",0
3,건강가정기본법 일부개정,"가족 돌봄 휴직 대상을 확대하되 성별을 명시하지 않는다. 맞벌이 가구 지원이 목적이다.",1
4,형법 일부개정,"디지털 성폭력 범죄의 처벌 규정을 신설한다.",3
5,조세특례제한법 일부개정,"중소기업 설비투자 세액공제율을 한시 상향한다.",0
6,영유아보육법 일부개정,"어린이집 보육 교사 배치 기준을 개정한다. 보육의 질 제고가 목적이다.",2
7,파견근로자 보호법 일부개정,"파견 근로 기간 상한을 조정한다. 성별 언급 없음.",0
8,모자보건법 일부개정,"산모·신생아 건강관리 지원 범위를 확대한다.",3
9,군인사법 일부개정,"여군 인력 운영 및 성희롱 예방 교육을 규정한다.",2
10,자본시장법 일부개정,"공매도 규제 한시를 연장한다.",0
11,한부모가족지원법 일부개정,"한부모 가족 아동 양육비 지원 기준을 조정한다.",3
12,직업안정법 일부개정,"고용서비스 기관 평가 지표를 개편한다.",0
13,성폭력방지법 일부개정,"성폭력 피해자 지원 시설 기준을 정비한다.",3
14,주택법 일부개정,"공공분양 주택 공급 물량 규정을 개정한다.",0
15,남녀고용평등법 시행령,"육아휴직 급여 상한액을 조정한다.",2
16,민법 일부개정,"친권·양육 관련 조항의 용어를 정비한다.",2
17,정보통신망법 일부개정,"불법촬영물 유통 차단 의무를 강화한다.",3
18,농지법 일부개정,"농지 취득 자격 심사를 강화한다.",0
19,근로기준법 일부개정,"생리 휴가 관련 조항을 실효성 있게 개정한다.",3
20,지방세법 일부개정,"취득세 중과 기준을 조정한다.",0
